cod_ibge,nome,populacao,populacao_censo_2022
3100104,Abadia dos Dourados,6345,6272
3100203,Abaeté,23173,22675
3100302,Abre Campo,14354,13927
3100401,Acaiaca,3998,3909
3100500,Açucena,8926,8943
3100609,Água Boa,12391,12589
3100708,Água Comprida,2171,2108
3100807,Aguanil,4509,4357
3100906,Águas Formosas,18850,18448
3101003,Águas Vermelhas,14567,14037
3101102,Aimorés,26212,25269
3101201,Aiuruoca,6389,6233
3101300,Alagoa,2820,2749
3101409,Albertina,3027,2952
3101508,Além Paraíba,31159,30717
3101607,Alfenas,82303,78970
3101631,Alfredo Vasconcelos,7236,6931
3101706,Almenara,42019,40364
3101805,Alpercata,7019,6903
3101904,Alpinópolis,18673,18300
3102001,Alterosa,14272,13915
3102050,Alto Caparaó,6014,5795
3102100,Alto Rio Doce,10931,10891
3102209,Alvarenga,3983,3975
3102308,Alvinópolis,15358,15059
3102407,Alvorada de Minas,4359,4159
3102506,Amparo do Serra,4574,4541
3102605,Andradas,42501,40553
3102704,Cachoeira de Pajeú,9347,9110
3102803,Andrelândia,12163,11927
3102852,Angelândia,7849,7718
3102902,Antônio Carlos,11350,11095
3103009,Antônio Dias,9375,9219
3103108,Antônio Prado de Minas,1552,1538
3103207,Araçaí,2222,2181
3103306,Aracitaba,2095,2049
3103405,Araçuaí,35185,34297
3103504,Araguari,123432,117808
3103603,Arantina,2998,2915
3103702,Araponga,8218,8048
3103751,Araporã,9069,8479
3103801,Arapuá,2668,2631
3103900,Araújos,9634,9199
3104007,Araxá,118786,111691
3104106,Arceburgo,9335,9177
3104205,Arcos,43653,41416
3104304,Areado,14229,13881
3104403,Argirita,2715,2688
3104452,Aricanduva,4820,4719
3104502,Arinos,17586,17272
3104601,Astolfo Dutra,14633,14138
3104700,Ataléia,13936,13736
3104809,Augusto de Lima,4572,4538
3104908,Baependi,18782,18366
3105004,Baldim,7595,7492
3105103,Bambuí,24203,23546
3105202,Bandeira,4811,4741
3105301,Bandeira do Sul,6183,5943
3105400,Barão de Cocais,32264,30778
3105509,Barão do Monte Alto,4952,4964
3105608,Barbacena,129695,125317
3105707,Barra Longa,5717,5666
3105905,Barroso,20604,20080
3106002,Bela Vista de Minas,10427,10167
3106101,Belmiro Braga,3292,3244
3106200,Belo Horizonte,2415872,2315560
3106309,Belo Oriente,24546,23928
3106408,Belo Vale,9012,8627
3106507,Berilo,9638,9826
3106606,Bertópolis,4546,4451
3106655,Berizal,4270,4201
3106705,Betim,431433,411846
3106804,Bias Fortes,3367,3361
3106903,Bicas,14358,13978
3107000,Biquinhas,2397,2383
3107109,Boa Esperança,41443,39848
3107208,Bocaina de Minas,5530,5348
3107307,Bocaiúva,49797,48032
3107406,Bom Despacho,54377,51737
3107505,Bom Jardim de Minas,6988,6783
3107604,Bom Jesus da Penha,4677,4474
3107703,Bom Jesus do Amparo,5786,5631
3107802,Bom Jesus do Galho,14719,14536
3107901,Bom Repouso,13312,12649
3108008,Bom Sucesso,17515,17151
3108107,Bonfim,7710,7434
3108206,Bonfinópolis de Minas,5600,5528
3108255,Bonito de Minas,10525,10204
3108305,Borda da Mata,17837,17404
3108404,Botelhos,15141,14828
3108503,Botumirim,5806,5790
3108552,Brasilândia de Minas,15485,15020
3108602,Brasília de Minas,33262,32025
3108701,Brás Pires,4296,4260
3108800,Braúnas,4445,4441
3108909,Brazópolis,14491,14246
3109006,Brumadinho,41090,38915
3109105,Bueno Brandão,11168,10911
3109204,Buenópolis,9171,9150
3109253,Bugre,4159,4041
3109303,Buritis,24779,24030
3109402,Buritizeiro,23908,23910
3109451,Cabeceira Grande,6811,6627
3109501,Cabo Verde,11269,11410
3109600,Cachoeira da Prata,3785,3693
3109709,Cachoeira de Minas,12302,11883
3109808,Cachoeira Dourada,2337,2315
3109907,Caetanópolis,11906,11435
3110004,Caeté,39775,38776
3110103,Caiana,5484,5304
3110202,Cajuri,4191,4088
3110301,Caldas,14628,14217
3110400,Camacho,2851,2838
3110509,Camanducaia,27860,26097
3110608,Cambuí,31066,29536
3110707,Cambuquira,12551,12313
3110806,Campanário,2884,2923
3110905,Campanha,16372,15935
3111002,Campestre,21155,20696
3111101,Campina Verde,18188,18011
3111150,Campo Azul,3806,3714
3111200,Campo Belo,54027,52277
3111309,Campo do Meio,11625,11377
3111408,Campo Florido,8931,8466
3111507,Campos Altos,13076,12979
3111606,Campos Gerais,26749,26105
3111705,Canaã,4839,4715
3111804,Canápolis,10716,10608
3111903,Cana Verde,5342,5272
3112000,Candeias,14211,14001
3112059,Cantagalo,4029,3974
3112109,Caparaó,5138,5048
3112208,Capela Nova,4397,4362
3112307,Capelinha,41858,39626
3112406,Capetinga,6627,6562
3112505,Capim Branco,11210,10663
3112604,Capinópolis,14872,14655
3112653,Capitão Andrade,4634,4585
3112703,Capitão Enéas,14403,14108
3112802,Capitólio,10991,10380
3112901,Caputira,9128,8936
3113008,Caraí,19511,19548
3113107,Caranaíba,2942,2933
3113206,Carandaí,24403,23812
3113305,Carangola,32134,31240
3113404,Caratinga,90890,87360
3113503,Carbonita,8603,8512
3113602,Careaçu,7062,6816
3113701,Carlos Chagas,18783,18615
3113800,Carmésia,2693,2605
3113909,Carmo da Cachoeira,11767,11547
3114006,Carmo da Mata,11291,11019
3114105,Carmo de Minas,14125,13797
3114204,Carmo do Cajuru,24581,23479
3114303,Carmo do Paranaíba,29885,29011
3114402,Carmo do Rio Claro,21506,20954
3114501,Carmópolis de Minas,18561,18003
3114550,Carneirinho,9633,9422
3114600,Carrancas,4161,4049
3114709,Carvalhópolis,3419,3341
3114808,Carvalhos,4503,4422
3114907,Casa Grande,2260,2214
3115003,Cascalho Rico,2751,2712
3115102,Cássia,17491,17155
3115201,Conceição da Barra de Minas,3576,3560
3115300,Cataguases,67732,66261
3115359,Catas Altas,5706,5473
3115409,Catas Altas da Noruega,3124,3110
3115458,Catuji,7248,7030
3115474,Catuti,4788,4739
3115508,Caxambu,21412,21056
3115607,Cedro do Abaeté,1084,1081
3115706,Central de Minas,6213,6171
3115805,Centralina,10447,10207
3115904,Chácara,3194,3075
3116001,Chalé,6289,6075
3116100,Chapada do Norte,9763,10337
3116159,Chapada Gaúcha,12904,12355
3116209,Chiador,2868,2800
3116308,Cipotânea,5549,5581
3116407,Claraval,4786,4658
3116506,Claro dos Poções,7230,7166
3116605,Cláudio,31936,30159
3116704,Coimbra,7293,7117
3116803,Coluna,8206,8163
3116902,Comendador Gomes,2804,2773
3117009,Comercinho,6540,6660
3117108,Conceição da Aparecida,10705,10371
3117207,Conceição das Pedras,2840,2772
3117306,Conceição das Alagoas,30278,28381
3117405,Conceição de Ipanema,4503,4409
3117504,Conceição do Mato Dentro,24559,23163
3117603,Conceição do Pará,5584,5415
3117702,Conceição do Rio Verde,12765,12541
3117801,Conceição dos Ouros,11218,10880
3117836,Cônego Marinho,7433,7237
3117876,Confins,7758,7350
3117900,Congonhal,11444,11083
3118007,Congonhas,55272,52890
3118106,Congonhas do Norte,4924,4831
3118205,Conquista,6878,6694
3118304,Conselheiro Lafaiete,138946,131621
3118403,Conselheiro Pena,21052,20824
3118502,Consolação,1569,1563
3118601,Contagem,651718,621863
3118700,Coqueiral,9188,9023
3118809,Coração de Jesus,26138,25377
3118908,Cordisburgo,7535,7547
3119005,Cordislândia,3236,3200
3119104,Corinto,23988,23532
3119203,Coroaci,11240,10884
3119302,Coromandel,30114,28894
3119401,Coronel Fabriciano,108708,104736
3119500,Coronel Murta,8237,8200
3119609,Coronel Pacheco,2789,2762
3119708,Coronel Xavier Chaves,3599,3486
3119807,Córrego Danta,2956,2960
3119906,Córrego do Bom Jesus,4462,4272
3119955,Córrego Fundo,6333,6133
3120003,Córrego Novo,2900,2875
3120102,Couto de Magalhães de Minas,4351,4245
3120151,Crisólita,5256,5265
3120201,Cristais,12634,12197
3120300,Cristália,5133,5121
3120409,Cristiano Otoni,4719,4667
3120508,Cristina,10643,10374
3120607,Crucilândia,5674,5434
3120706,Cruzeiro da Fortaleza,3616,3521
3120805,Cruzília,15831,15362
3120839,Cuparaque,3958,3983
3120870,Curral de Dentro,7662,7406
3120904,Curvelo,84297,80665
3121001,Datas,5635,5465
3121100,Delfim Moreira,8133,7952
3121209,Delfinópolis,8851,8393
3121258,Delta,11143,10494
3121308,Descoberto,5070,4928
3121407,Desterro de Entre Rios,7941,7653
3121506,Desterro do Melo,3060,2994
3121605,Diamantina,49493,47702
3121704,Diogo de Vasconcelos,3581,3549
3121803,Dionísio,6689,6847
3121902,Divinésia,4481,4226
3122009,Divino,21428,20706
3122108,Divino das Laranjeiras,4147,4178
3122207,Divinolândia de Minas,6583,6516
3122306,Divinópolis,243583,231091
3122355,Divisa Alegre,6541,6321
3122405,Divisa Nova,6002,5851
3122454,Divisópolis,10659,10213
3122470,Dom Bosco,3763,3697
3122504,Dom Cavati,4967,4904
3122603,Dom Joaquim,5074,4899
3122702,Dom Silvério,5355,5228
3122801,Dom Viçoso,3184,3095
3122900,Dona Euzébia,6250,6093
3123007,Dores de Campos,10359,10007
3123106,Dores de Guanhães,5114,5029
3123205,Dores do Indaiá,12730,12630
3123304,Dores do Turvo,5192,4987
3123403,Doresópolis,1498,1461
3123502,Douradoquara,1869,1829
3123528,Durandé,8065,7817
3123601,Elói Mendes,27429,26336
3123700,Engenheiro Caldas,14501,13622
3123809,Engenheiro Navarro,6373,6354
3123858,Entre Folhas,5295,5179
3123908,Entre Rios de Minas,15157,14746
3124005,Ervália,21091,20255
3124104,Esmeraldas,93103,85598
3124203,Espera Feliz,24844,24102
3124302,Espinosa,31375,30443
3124401,Espírito Santo do Dourado,7132,6611
3124500,Estiva,11880,11502
3124609,Estrela Dalva,2189,2186
3124708,Estrela do Indaiá,2711,2772
3124807,Estrela do Sul,6897,6840
3124906,Eugenópolis,11096,10801
3125002,Ewbank da Câmara,3986,3875
3125101,Extrema,59336,53482
3125200,Fama,2676,2578
3125309,Faria Lemos,3230,3188
3125408,Felício dos Santos,5251,5133
3125507,São Gonçalo do Rio Preto,3099,3032
3125606,Felisburgo,6575,6489
3125705,Felixlândia,14280,13978
3125804,Fernandes Tourinho,2814,2789
3125903,Ferros,9603,9590
3125952,Fervedouro,10705,10445
3126000,Florestal,8469,8045
3126109,Formiga,70897,68248
3126208,Formoso,8095,7949
3126307,Fortaleza de Minas,3453,3477
3126406,Fortuna de Minas,3230,3093
3126505,Francisco Badaró,7053,7366
3126604,Francisco Dumont,4547,4503
3126703,Francisco Sá,23753,23476
3126752,Franciscópolis,5023,5034
3126802,Frei Gaspar,5731,5640
3126901,Frei Inocêncio,8301,8226
3126950,Frei Lagonegro,3481,3391
3127008,Fronteira,14946,14540
3127057,Fronteira dos Vales,4389,4345
3127073,Fruta de Leite,4538,4647
3127107,Frutal,61275,58588
3127206,Funilândia,4934,4686
3127305,Galiléia,6244,6222
3127339,Gameleiras,4847,4793
3127354,Glaucilândia,2991,2928
3127370,Goiabeira,2859,2830
3127388,Goianá,4214,4053
3127404,Gonçalves,4922,4727
3127503,Gonzaga,5235,5230
3127602,Gouveia,11536,11331
3127701,Governador Valadares,266561,257171
3127800,Grão Mogol,14037,13901
3127909,Grupiara,1428,1392
3128006,Guanhães,33517,32244
3128105,Guapé,14076,13772
3128204,Guaraciaba,9901,9753
3128253,Guaraciama,5224,5051
3128303,Guaranésia,19646,19150
3128402,Guarani,7731,7714
3128501,Guarará,3091,3149
3128600,Guarda-Mor,6687,6539
3128709,Guaxupé,52744,50911
3128808,Guidoval,7285,7131
3128907,Guimarânia,8880,8478
3129004,Guiricema,7803,7778
3129103,Gurinhatã,5154,5192
3129202,Heliodora,6278,6134
3129301,Iapu,12583,12030
3129400,Ibertioga,5346,5198
3129509,Ibiá,22554,22229
3129608,Ibiaí,6172,6286
3129657,Ibiracatu,5113,5081
3129707,Ibiraci,10996,10948
3129806,Ibirité,179582,170537
3129905,Ibitiúra de Minas,3440,3365
3130002,Ibituruna,2733,2698
3130051,Icaraí de Minas,10914,10677
3130101,Igarapé,49120,45847
3130200,Igaratinga,11345,10830
3130309,Iguatama,6782,6826
3130408,Ijaci,7358,7003
3130507,Ilicínea,13248,12741
3130556,Imbé de Minas,7244,6986
3130606,Inconfidentes,7537,7301
3130655,Indaiabira,6328,6346
3130705,Indianópolis,6311,6171
3130804,Ingaí,2632,2580
3130903,Inhapim,22925,22692
3131000,Inhaúma,6465,6239
3131109,Inimutaba,7615,7371
3131158,Ipaba,17587,17136
3131208,Ipanema,20181,19522
3131307,Ipatinga,235311,227731
3131406,Ipiaçu,3807,3775
3131505,Ipuiúna,9283,9135
3131604,Iraí de Minas,7467,7180
3131703,Itabira,118053,113343
3131802,Itabirinha,10548,10362
3131901,Itabirito,56369,53365
3132008,Itacambira,4227,4252
3132107,Itacarambi,17502,17208
3132206,Itaguara,14415,13846
